Data;Bond_Corporate_Eur_R;Bond_Aggregate_RMB_R;Bond_Aggregate_RMB_RD;Bond_Aggregate_EUR_R;Global_Bond_R;Bond_Flexible_R;Bond_Flexible_RD;Absolute_High_Yield_R;Global_Multi_Credit_R;SLJ_Local_Emerging_Markets_Debt_R;Bond_High_Yield_R;Bond_Emerging_Markets_R;Bond_Inflation_Linked;Bond_Emerging_Markets_RH;Bond_Corporate_EUR_Short_Term;II_Euro_Bond_R;II_Emerging_Bond_Total_Return_R;II_Emerging_Bond_Total_Return_RD;II_Emerging_Bond_Total_Return_Enhanced_R;Euro_Emerging_Markets_Bonds_R;Green_Euro_Credit_R;Active_Allocation_R;Flexible_Multistrategy_R;Conservative_Allocation_R;Conservative_Allocation_RD;II_Q-Flexible_R;Sustainable_Multiasset_R;Italian_Equity_Opportunities_R;Equity_Italy_Smart_Volatility_R;Equity_World_Smart_Volatility_R;Equity_World_Smart_Volatility_RH;Equity_Emerging_Markets_Smart_Volatility_R;Equity_China_Smart_Volatility_R;Equity_Emerging_Markets_New_Frontiers_R;Equity_Small_Mid_Cap_Europe;Top_European_Research_R;Equity_USA_R;Equity_USA_RH;Equity_China_A;Equity_Japan_R;II_Euro_Q-Equity_R;Sustainable_Global_Equity_R
09/09/2021;106.94;117.97;110.93;111.14;109.41;103.74;97.05;97.05;102.83;104.51;245.51;387.67;149.56;369.82;67.54;183.41;133.09;98.72;100.57;100.87;100.2;120.51;99.78;114.23;108.74;163.09;100.62;135.71;114.89;125.71;110;227.95;141.97;139.9;897.03;128.23;204.8;183.19;140.41;120.65;152.33;142.19
10/09/2021;106.89;117.91;110.87;110.97;109.24;103.72;97.03;97.03;102.87;104.6;245.62;386.8;149.61;369.46;67.55;183.06;133.22;98.82;100.62;100.9;100.12;120.34;99.74;114.14;108.66;162.52;100.46;134.66;113.97;125.16;109.63;226.72;140.19;139.39;892.72;128.07;202.79;181.67;140.29;120.82;152.02;141.57
13/09/2021;106.92;117.95;110.91;111.02;109.45;103.78;97.09;97.09;102.92;104.71;245.75;387.82;150.01;369.68;67.57;183.1;133.32;98.89;100.69;100.92;100.14;120.55;99.87;114.32;108.83;162.6;100.67;135.15;114.74;125.46;109.74;226.16;138.6;139.85;893.64;128.49;203.74;182.11;138.5;122.63;152.59;141.79
14/09/2021;106.99;118.1;111.05;111.11;109.44;103.79;97.1;97.1;102.95;104.44;245.97;387.67;149.6;369.87;67.58;183.36;133.28;98.86;100.66;100.87;100.19;120.35;99.79;114.17;108.69;162.33;100.47;135.3;115.27;125.08;109.47;224.88;136.32;139.57;894.37;128.51;202.38;181.07;137.35;121.77;152.78;141.41
15/09/2021;106.92;118.49;111.42;110.89;109.43;103.78;97.09;97.09;102.94;104.36;246.19;387.79;149.37;369.87;67.58;182.82;133.37;98.92;100.69;100.9;100.07;120.49;99.75;114.16;108.68;162.32;100.48;134.04;114.48;125.44;109.73;224.38;134.74;140.18;885.3;127.82;204.12;182.58;135.26;121.65;151.37;142.06
16/09/2021;106.93;118.68;111.6;110.89;109.64;103.8;97.11;97.11;102.99;104.45;246.3;388.82;149.28;369.11;67.58;182.82;133.41;98.96;100.66;100.87;100.07;120.52;99.76;114.22;108.73;162.29;100.59;134.73;115.35;125.72;109.64;224.97;136.58;140.65;891.79;128.51;204.81;182.35;136.52;122;152.04;141.87
17/09/2021;106.87;118.68;111.6;110.79;109.54;103.79;97.1;97.1;102.98;104.1;246.25;389.04;149.26;368.51;67.58;182.58;133.42;98.96;100.68;100.83;99.99;120.44;99.67;114.06;108.58;161.56;100.36;133.81;114.35;124.85;108.76;222.75;134.04;140.93;885.18;127.07;203.57;180.84;136.52;122;150.43;140.67
20/09/2021;106.88;118.68;111.6;110.88;109.56;103.65;96.97;96.97;102.77;103.68;245.8;387.9;149;367.11;67.56;182.84;133.26;98.84;100.48;100.59;100.11;119.6;99.25;113.58;108.12;160.09;99.81;130.86;111.92;123.26;107.23;222.75;133.14;139.74;868.77;124.85;200.41;177.82;136.52;120.96;147.22;138.67
21/09/2021;106.87;118.48;111.41;110.91;109.64;103.68;96.99;96.99;102.75;103.76;245.85;387.85;149.17;367.07;67.56;183.08;133.24;98.83;100.52;100.56;100.1;119.63;99.24;113.58;108.11;160.42;99.81;131.99;113.22;123.54;107.4;221.21;133.14;139.46;877.33;126.45;200.62;178;134.97;119.35;149.07;138.62
22/09/2021;106.89;118.55;111.47;110.99;109.67;103.82;97.13;97.13;102.8;103.94;245.93;387.71;149.42;367.17;67.56;183.21;133.19;98.79;100.38;100.52;100.11;120.05;99.41;113.77;108.3;161.05;100.03;134.03;114.79;124.06;107.94;222.62;134.61;140.17;884.25;127.71;202.58;179.89;135.16;119.35;150.83;139.65
23/09/2021;106.68;118.77;111.68;110.65;109.37;103.82;97.13;97.13;102.81;103.75;245.79;385.42;149.23;365.47;67.54;182.47;133.02;98.66;100.21;100.45;99.86;120.51;99.57;114.06;108.57;161.89;100.31;135.77;116.15;125.09;108.96;223.01;133.66;140.4;892.83;128.9;204.87;182.18;135.02;121.11;152.43;141.07
24/09/2021;106.56;118.99;111.88;110.38;109.19;103.76;97.07;97.07;102.73;103.37;245.51;384.78;148.6;363.74;67.52;181.9;132.94;98.61;100.03;100.17;99.75;120.63;99.59;114.02;108.53;161.59;100.27;134.95;115.51;125.19;108.87;222.91;133.26;140.51;884.07;127.8;206;182.63;135.06;120.72;151.09;140.83
27/09/2021;106.5;119.3;112.17;110.36;109.18;103.73;97.05;97.05;102.6;103.32;245.31;383.84;149.09;362.42;67.5;181.95;132.86;98.55;99.91;99.95;99.72;120.93;99.75;114.02;108.53;161.3;100.35;135.33;115.67;124.7;108.35;223.07;135.71;140.05;879.98;127.45;205.6;182.07;135.97;120.25;150.91;140.19
